"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.746690985472396E9,"2025-05-08 10:56:25.472 UTC+03:00"
"PAUSE",6.020386005416804E2,1.746691587510887E9,"2025-05-08 11:06:27.511 UTC+03:00"
