"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.747058669902984E9,"2025-05-12 17:04:29.903 UTC+03:00"
"PAUSE",4.758244229166739E2,1.747059145727219E9,"2025-05-12 17:12:25.727 UTC+03:00"
