"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.209703922E1,2.998691921E1,3.144266105E1,3.059075403E2,3.229333877E2,0.000000000E0,NaN,2.650885203E-1,7.579173892E0,4.029364438E0,-1.000000000E0
3.309703827E1,2.998691921E1,3.144266105E1,3.059075403E2,3.229333877E2,0.000000000E0,NaN,2.662313368E-1,7.579179410E0,4.029364438E0,-1.000000000E0
3.409703755E1,2.998691130E1,3.144266863E1,3.053567569E2,3.223826230E2,1.549045875E-2,NaN,2.676247681E-1,6.218259559E0,6.716211620E0,-1.000000000E0
3.609703577E1,2.998690179E1,3.144267804E1,3.051571602E2,3.221830489E2,3.269980157E-2,NaN,2.684617088E-1,4.285687577E0,4.954716917E0,-1.000000000E0
3.709703434E1,2.998689725E1,3.144268498E1,3.052045752E2,3.222304758E2,1.609347331E-2,NaN,2.690938400E-1,9.234393145E0,5.304614206E0,-1.000000000E0
3.809703445E1,2.998689159E1,3.144268567E1,3.051813181E2,3.222072297E2,2.688597118E-2,NaN,2.693490736E-1,9.115171870E0,5.106026812E0,-1.000000000E0
3.909703338E1,2.998689362E1,3.144268693E1,3.050343948E2,3.220603033E2,0.000000000E0,NaN,2.695059691E-1,8.372604097E0,4.875907317E0,-1.000000000E0
4.009703267E1,2.998689459E1,3.144268811E1,3.049995538E2,3.220254610E2,3.936353050E-2,NaN,2.697464847E-1,8.972700603E0,5.033739755E0,-1.000000000E0
4.109703243E1,2.998689568E1,3.144268595E1,3.049399403E2,3.219658445E2,3.468126959E-2,NaN,2.699801763E-1,8.583896053E0,5.009770856E0,-1.000000000E0
4.209703171E1,2.998689746E1,3.144268466E1,3.049594056E2,3.219853058E2,3.389748637E-2,NaN,2.700837861E-1,9.709335572E0,5.371278561E0,-1.000000000E0
4.309703088E1,2.998689715E1,3.144268568E1,3.048945438E2,3.219204450E2,3.417118342E-2,NaN,2.700901374E-1,9.302392770E0,5.332611183E0,-1.000000000E0
4.409702992E1,2.998689713E1,3.144268574E1,3.048945438E2,3.219204450E2,0.000000000E0,NaN,2.700919613E-1,9.455267510E0,5.782738233E0,-1.000000000E0
4.509702897E1,2.998689713E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923314E-1,1.010130449E1,6.148539848E0,-1.000000000E0
4.609702826E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923782E-1,9.328576157E0,6.635071532E0,-1.000000000E0
4.709702802E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923782E-1,7.092816839E0,7.043644861E0,-1.000000000E0
4.809702742E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923782E-1,7.092822793E0,7.021878958E0,-1.000000000E0
4.909702730E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923782E-1,7.092828944E0,7.226904028E0,-1.000000000E0
5.009702659E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923784E-1,7.092835077E0,7.354405737E0,-1.000000000E0
5.109702635E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923784E-1,7.084516225E0,7.430805489E0,-1.000000000E0
5.209702516E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923784E-1,7.084522098E0,7.633972186E0,-1.000000000E0
5.309702456E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923790E-1,7.084528235E0,7.732939072E0,-1.000000000E0
5.409702504E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923790E-1,7.049822019E0,7.746333365E0,-1.000000000E0
5.509702444E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923790E-1,7.049828196E0,7.746713748E0,-1.000000000E0
5.609702301E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923797E-1,7.049834439E0,7.967379741E0,-1.000000000E0
5.709702325E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923798E-1,7.011009603E0,7.978172164E0,-1.000000000E0
5.809702361E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923798E-1,7.004839393E0,8.008352738E0,-1.000000000E0
5.909702301E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923982E-1,7.004845553E0,7.988958556E0,-1.000000000E0
6.009702241E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.700923986E-1,5.884649658E0,8.244195311E0,-1.000000000E0
6.109702182E1,2.998689712E1,3.144268576E1,3.048945438E2,3.219204451E2,0.000000000E0,NaN,2.707908365E-1,5.857482976E0,8.194019842E0,-1.000000000E0
6.209702182E1,2.998689640E1,3.144267856E1,3.058304550E2,3.228563540E2,3.131526269E-2,NaN,2.708026486E-1,5.831042330E0,8.138108876E0,-1.000000000E0
6.309702134E1,2.998689641E1,3.144267868E1,3.056885818E2,3.227144808E2,4.595543935E-2,NaN,2.708056647E-1,5.811593732E0,7.327113599E0,-1.000000000E0
6.409702051E1,2.998689642E1,3.144267871E1,3.056727171E2,3.226986161E2,0.000000000E0,NaN,2.708056656E-1,5.811602029E0,7.194152894E0,-1.000000000E0
6.609701979E1,2.998689642E1,3.144267871E1,3.056727171E2,3.226986161E2,0.000000000E0,NaN,2.711530442E-1,5.811618339E0,7.470567699E0,-1.000000000E0
6.709702015E1,2.998689607E1,3.144267513E1,3.056727171E2,3.226986149E2,0.000000000E0,NaN,2.711688908E-1,5.099484852E0,7.867082012E0,-1.000000000E0
6.809701979E1,2.998689605E1,3.144267496E1,3.056727171E2,3.226986149E2,0.000000000E0,NaN,2.715309522E-1,5.064647015E0,7.610688424E0,-1.000000000E0
6.909701955E1,2.998689678E1,3.144267862E1,3.049951206E2,3.220210189E2,0.000000000E0,NaN,2.715494196E-1,5.036714384E0,7.290028561E0,-1.000000000E0
7.009701884E1,2.998689687E1,3.144267846E1,3.050115082E2,3.220374062E2,8.726216257E-2,NaN,2.726567936E-1,4.679503967E0,6.585946117E0,-1.000000000E0
7.109701896E1,2.998690561E1,3.144267296E1,3.050659395E2,3.220918184E2,4.706370583E-1,3.330201689E2,2.737708119E-1,9.723570099E0,6.836927496E0,-1.000000000E0
7.209701860E1,2.998691474E1,3.144266819E1,3.051136317E2,3.221394911E2,1.205356345E0,3.306042132E2,2.755993943E-1,7.056790156E0,6.634594477E0,-1.000000000E0
7.309701765E1,2.998692882E1,3.144265837E1,3.052661497E2,3.222919778E2,1.973386914E0,3.287498229E2,2.781078346E-1,7.146996230E0,6.180449558E0,-1.000000000E0
7.409701824E1,2.998694771E1,3.144264415E1,3.053569051E2,3.223826906E2,2.504994838E0,3.277540582E2,2.815488365E-1,7.279373561E0,5.973780522E0,-1.000000000E0
7.509701812E1,2.998697383E1,3.144262498E1,3.055221474E2,3.225478743E2,2.847110420E0,3.272002670E2,2.845768709E-1,6.031205822E0,6.055750637E0,-1.000000000E0
7.609701777E1,2.998699543E1,3.144260584E1,3.055436309E2,3.225693077E2,3.015378180E0,3.256466961E2,3.905775594E-1,6.196834752E0,5.955665775E0,-1.000000000E0
7.709701729E1,2.998724307E1,3.144154301E1,3.064387632E2,3.234634337E2,NaN,NaN,3.905775594E-1,2.265493297E1,1.682178012E1,-1.000000000E0
7.809701669E1,2.998724307E1,3.144154301E1,3.064387632E2,3.234634337E2,NaN,NaN,3.905775594E-1,3.302108002E1,1.682200221E1,-1.000000000E0
7.909701693E1,2.998724307E1,3.144154301E1,3.064387632E2,3.234634337E2,NaN,NaN,4.832779578E-1,4.963742389E1,1.682222429E1,-1.000000000E0
8.109701586E1,2.998711867E1,3.144249475E1,3.051896916E2,3.222150814E2,3.331617193E0,3.286025149E2,4.859255027E-1,6.283091417E0,5.617453819E0,-1.000000000E0
8.209701633E1,2.998714196E1,3.144248905E1,3.053021130E2,3.223274564E2,3.272397651E0,3.303237579E2,4.896474704E-1,6.395996034E0,5.340677175E0,-1.000000000E0
8.309701562E1,2.998717002E1,3.144246797E1,3.053703822E2,3.223956624E2,3.276275385E0,3.298640714E2,4.934566649E-1,6.392908775E0,5.046384124E0,-1.000000000E0
8.409701502E1,2.998719802E1,3.144244518E1,3.055551670E2,3.225803832E2,3.294463016E0,3.291471708E2,4.971629032E-1,5.609217181E0,5.866187755E0,-1.000000000E0
8.509701490E1,2.998722539E1,3.144242323E1,3.056558465E2,3.226810004E2,3.324933549E0,3.291659719E2,5.005264155E-1,5.156518762E0,6.049078499E0,-1.000000000E0
8.609701490E1,2.998725142E1,3.144240544E1,3.056092025E2,3.226342986E2,3.398659451E0,3.293466322E2,5.042251402E-1,5.435717537E0,6.074513451E0,-1.000000000E0
8.709701514E1,2.998727923E1,3.144238436E1,3.056074651E2,3.226324985E2,3.406776154E0,3.296198365E2,5.077318810E-1,5.063459559E0,6.074327657E0,-1.000000000E0
8.809701490E1,2.998730625E1,3.144236560E1,3.056613350E2,3.226863083E2,3.456909634E0,3.287340818E2,5.872663159E-1,5.355108489E0,6.061279612E0,-1.000000000E0
8.909701455E1,2.998724307E1,3.144154301E1,3.084887632E2,3.255134337E2,NaN,NaN,5.872663159E-1,2.769922074E1,1.682323396E1,-1.000000000E0
9.009701395E1,2.998724307E1,3.144154301E1,3.084887632E2,3.255134337E2,NaN,NaN,6.617000523E-1,3.877574034E1,1.682330906E1,-1.000000000E0
9.109701371E1,2.998738551E1,3.144229816E1,3.059988136E2,3.230236043E2,3.459574561E0,3.316668857E2,6.650930645E-1,5.504537498E0,6.455262673E0,-1.000000000E0
9.209701395E1,2.998741551E1,3.144229174E1,3.062165252E2,3.232412566E2,3.517509890E0,3.327668344E2,6.686617265E-1,5.701496384E0,5.981292598E0,-1.000000000E0
9.309701264E1,2.998744410E1,3.144227490E1,3.064206231E2,3.234452925E2,3.451560760E0,3.344382582E2,6.723457292E-1,5.800592113E0,5.490825067E0,-1.000000000E0
9.409701347E1,2.998747314E1,3.144225649E1,3.066293492E2,3.236539549E2,3.477414912E0,3.313913361E2,6.758750132E-1,5.207853653E0,5.663844479E0,-1.000000000E0
9.509701288E1,2.998750090E1,3.144223873E1,3.069311961E2,3.239557409E2,3.480356038E0,3.318021727E2,7.487563000E-1,5.443551914E0,5.513435881E0,-1.000000000E0
9.609701228E1,2.998724307E1,3.144154301E1,3.084887632E2,3.255134337E2,NaN,NaN,7.487563000E-1,2.181778873E1,1.682247266E1,-1.000000000E0
9.709701264E1,2.998724307E1,3.144154301E1,3.084887632E2,3.255134337E2,NaN,NaN,8.201210137E-1,3.497743365E1,1.682269475E1,-1.000000000E0
9.809701240E1,2.998758033E1,3.144217344E1,3.074896417E2,3.245140047E2,3.276511476E0,3.353173730E2,8.234632073E-1,5.803961625E0,4.306581606E0,-1.000000000E0
9.909701347E1,2.998760751E1,3.144215862E1,3.076787740E2,3.247030786E2,2.431209044E0,3.293564551E2,8.251081545E-1,5.074311456E0,4.405867334E0,-1.000000000E0
1.000970167E2,2.998761959E1,3.144214876E1,3.078783080E2,3.249025850E2,1.226272687E0,3.306925594E2,8.260445512E-1,5.343694671E0,4.437365852E0,-1.000000000E0
1.010970188E2,2.998762800E1,3.144214824E1,3.079613866E2,3.249856477E2,9.564681439E-1,3.456022263E2,8.262920677E-1,5.606595941E0,4.379074952E0,-1.000000000E0
1.020970224E2,2.998762886E1,3.144215061E1,3.080013934E2,3.250256540E2,4.312369113E-1,NaN,8.270589853E-1,5.013951961E0,4.454795518E0,-1.000000000E0
1.030970247E2,2.998762198E1,3.144215010E1,3.081162737E2,3.251405469E2,9.004848623E-1,3.305927338E2,8.274249293E-1,9.341681169E0,4.783032640E0,-1.000000000E0
1.040970271E2,2.998762426E1,3.144214735E1,3.081678137E2,3.251920812E2,6.677526632E-1,3.261651176E2,8.279214091E-1,9.404533365E0,4.783485545E0,-1.000000000E0
1.050970303E2,2.998762721E1,3.144214348E1,3.082959350E2,3.253201950E2,9.840569255E-1,3.356640820E2,8.297341949E-1,7.125174777E0,4.885810895E0,-1.000000000E0
1.060970323E2,2.998764119E1,3.144213382E1,3.082789166E2,3.253031456E2,1.982675687E0,3.309418782E2,8.322202662E-1,7.329629627E0,4.936838790E0,-1.000000000E0
1.070970337E2,2.998766067E1,3.144212114E1,3.083462363E2,3.253704224E2,2.763297934E0,3.320574819E2,9.047218706E-1,7.511164392E0,5.164848376E0,-1.000000000E0
1.080970355E2,2.998724307E1,3.144154301E1,3.107687632E2,3.277934337E2,NaN,NaN,9.047218706E-1,2.487854652E1,1.683915370E1,-1.000000000E0
1.090970372E2,2.998724307E1,3.144154301E1,3.107687632E2,3.277934337E2,NaN,NaN,9.806123546E-1,3.517993323E1,1.683937556E1,-1.000000000E0
1.110970407E2,2.998776923E1,3.144204488E1,3.089648491E2,3.259887933E2,3.420110748E0,3.304233239E2,9.842874827E-1,5.453698285E0,5.550430504E0,-1.000000000E0
1.120970418E2,2.998779894E1,3.144202816E1,3.090139718E2,3.260378520E2,3.380697961E0,3.316829644E2,9.877115967E-1,5.072694089E0,5.620750727E0,-1.000000000E0
1.130970430E2,2.998782603E1,3.144201124E1,3.091720556E2,3.261958766E2,3.422219676E0,3.309435194E2,9.912818024E-1,5.381751802E0,5.649877043E0,-1.000000000E0
1.140970451E2,2.998785335E1,3.144199177E1,3.093272211E2,3.263509811E2,3.475875871E0,3.289847037E2,9.950479308E-1,5.648955088E0,5.788695149E0,-1.000000000E0
1.150970453E2,2.998788273E1,3.144197232E1,3.095000589E2,3.265237540E2,3.406760468E0,3.298490486E2,9.985501630E-1,5.217672128E0,5.923438125E0,-1.000000000E0
1.160970471E2,2.998791024E1,3.144195462E1,3.097053053E2,3.267289400E2,3.382085547E0,3.306422483E2,1.001981968E0,5.501159134E0,6.006263699E0,-1.000000000E0
1.170970480E2,2.998793696E1,3.144193678E1,3.100553086E2,3.270788842E2,3.396241773E0,3.303203936E2,1.005843904E0,5.753078295E0,6.017024633E0,-1.000000000E0
1.180970486E2,2.998796718E1,3.144191702E1,3.102182249E2,3.272417340E2,3.446770034E0,3.297364573E2,1.009232592E0,5.297977325E0,6.185808481E0,-1.000000000E0
1.190970491E2,2.998799363E1,3.144189954E1,3.104639966E2,3.274874472E2,3.417366367E0,3.302326295E2,1.099478948E0,5.578627873E0,5.816214121E0,-1.000000000E0
1.200970497E2,2.998724307E1,3.144154301E1,3.107687632E2,3.277934337E2,NaN,NaN,1.195202487E0,2.779455064E1,1.684055336E1,-1.000000000E0
1.210970508E2,2.998805864E1,3.144186115E1,3.108453577E2,3.278686673E2,3.440903352E0,3.303537573E2,1.199213820E0,1.106470425E1,5.376787722E0,-1.000000000E0
1.220970510E2,2.998808932E1,3.144183924E1,3.110070611E2,3.280303021E2,3.461794100E0,3.299274841E2,1.203040653E0,1.078400397E1,5.139593221E0,-1.000000000E0
1.230970520E2,2.998811854E1,3.144181825E1,3.111465252E2,3.281697009E2,3.442687949E0,3.313910500E2,1.206421140E0,1.064283613E1,5.024237280E0,-1.000000000E0
1.240970522E2,2.998814686E1,3.144180548E1,3.113228842E2,3.283460005E2,3.415224124E0,3.323212844E2,1.209968071E0,1.048483662E1,4.918223286E0,-1.000000000E0
1.250970534E2,2.998817634E1,3.144179141E1,3.115477454E2,3.285707995E2,3.420118438E0,3.330263015E2,1.213385392E0,1.029648896E1,4.867221712E0,-1.000000000E0
1.260970538E2,2.998820466E1,3.144177764E1,3.118628704E2,3.288858644E2,3.420821129E0,3.333084030E2,1.216981291E0,1.031796419E1,4.846805556E0,-1.000000000E0
1.270970541E2,2.998823426E1,3.144176260E1,3.120556144E2,3.290785455E2,3.435684145E0,3.342516351E2,1.220268143E0,1.034936511E1,4.616278359E0,-1.000000000E0
1.280970545E2,2.998826180E1,3.144175022E1,3.122728721E2,3.292957453E2,3.425157986E0,3.352768177E2,1.224133268E0,1.012217755E1,4.459960834E0,-1.000000000E0
1.290970547E2,2.998829334E1,3.144173334E1,3.122722172E2,3.292950229E2,3.431898461E0,3.372646334E2,1.227719917E0,1.001939834E1,4.334286821E0,-1.000000000E0
1.300970547E2,2.998832434E1,3.144172306E1,3.125281045E2,3.295508470E2,3.484631822E0,3.421186499E2,1.231299220E0,9.901932676E0,4.142666060E0,-1.000000000E0
1.310970551E2,2.998835614E1,3.144171726E1,3.129378246E2,3.299605047E2,3.482492408E0,3.467745412E2,1.235470102E0,9.865864046E0,4.021955942E0,-1.000000000E0
1.320970557E2,2.998839355E1,3.144171418E1,3.127497538E2,3.297723624E2,3.526044445E0,3.520262929E2,1.239241780E0,9.945517411E0,4.039159095E0,-1.000000000E0
1.330970860E2,2.998842647E1,3.144172361E1,3.128756369E2,3.298981889E2,3.551861002E0,3.575993044E2,1.242451872E0,1.020962767E1,4.164825321E0,-1.000000000E0
1.340970819E2,2.998845534E1,3.144172379E1,3.129511566E2,3.299736548E2,3.436469532E0,4.187565770E0,1.246407141E0,1.024344104E1,4.283152988E0,-1.000000000E0
1.350970770E2,2.998849010E1,3.144173250E1,3.129118345E2,3.299342722E2,3.495054720E0,9.087426519E0,1.250237940E0,1.016593054E1,4.391553262E0,-1.000000000E0
1.360970736E2,2.998852043E1,3.144175136E1,3.128778602E2,3.299002508E2,3.519736878E0,1.471575376E1,1.253679539E0,1.017907611E1,4.441453550E0,-1.000000000E0
1.370970647E2,2.998854815E1,3.144176727E1,3.130196318E2,3.300419788E2,3.552432241E0,1.960224219E1,1.257890896E0,1.035634306E1,4.516130678E0,-1.000000000E0
1.380970596E2,2.998858379E1,3.144178208E1,3.132760795E2,3.302983675E2,3.559562719E0,2.083633173E1,1.262193344E0,1.044182062E1,4.559265328E0,-1.000000000E0
1.390970583E2,2.998862119E1,3.144179351E1,3.134301559E2,3.304523799E2,3.539420169E0,1.735354231E1,1.265391590E0,1.040271871E1,4.670648744E0,-1.000000000E0
1.400970567E2,2.998864994E1,3.144179453E1,3.134423106E2,3.304644814E2,3.567590352E0,8.934813090E0,1.268890276E0,1.025004905E1,4.709071158E0,-1.000000000E0
1.410970553E2,2.998867749E1,3.144177698E1,3.139588110E2,3.309809213E2,3.722184885E0,3.497952377E2,1.272246899E0,1.044292575E1,7.326122731E0,-1.000000000E0
1.420970516E2,2.998870277E1,3.144175794E1,3.139584433E2,3.309804966E2,3.533829783E0,3.332771138E2,1.275731861E0,1.040836858E1,7.302857790E0,-1.000000000E0
1.430970527E2,2.998871610E1,3.144172519E1,3.142034326E2,3.312254443E2,3.517001159E0,3.092535884E2,1.279526353E0,1.027082888E1,7.095919907E0,-1.000000000E0
1.440970533E2,2.998871907E1,3.144168594E1,3.137620014E2,3.307839874E2,3.838723196E0,2.869391364E2,1.283713068E0,1.039073915E1,7.340833630E0,-1.000000000E0
1.450970525E2,2.998870504E1,3.144164560E1,3.135387330E2,3.305607246E2,4.109617377E0,2.618300474E2,1.287236955E0,1.016442949E1,7.098656693E0,-1.000000000E0
