"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.316310510E-1,2.998694710E1,3.144115860E1,3.225749792E2,3.396000061E2,NaN,NaN,1.396587030E-1,8.759999847E1,1.497690010E1,0.000000000E0
2.487481665E0,2.998697183E1,3.144260841E1,3.054515727E2,3.224772949E2,1.000000000E0,1.416000061E2,1.413469483E-1,6.318393230E0,8.593822479E0,0.000000000E0
3.487359425E0,2.998695670E1,3.144260987E1,3.061439265E2,3.231696777E2,2.640000105E0,1.575000000E2,1.433687787E-1,3.790092468E0,4.669336319E0,2.600000000E1
4.487724478E0,2.998693854E1,3.144260882E1,3.052196988E2,3.222454834E2,2.420000076E0,1.656999969E2,1.458284122E-1,3.790092468E0,3.576687813E0,3.300000000E1
5.487547446E0,2.998691648E1,3.144260694E1,3.061325004E2,3.231583252E2,2.339999914E0,1.771000061E2,1.477046248E-1,3.790092468E0,3.608407497E0,3.700000000E1
6.486931821E0,2.998690020E1,3.144260182E1,3.056207538E2,3.226466064E2,1.440000057E0,1.871999969E2,1.492280855E-1,3.790092468E0,3.172015190E0,3.900000000E1
7.487687706E0,2.998688745E1,3.144259603E1,3.055837457E2,3.226096191E2,1.289999962E0,1.938000031E2,1.506219431E-1,3.790092468E0,3.122987747E0,4.000000000E1
8.487006247E0,2.998687619E1,3.144258967E1,3.048521605E2,3.218780518E2,1.259999990E0,2.021000061E2,1.522414784E-1,3.790092468E0,2.571495533E0,4.200000000E1
9.487339997E0,2.998686290E1,3.144258279E1,3.053654448E2,3.223913574E2,1.679999948E0,2.071999969E2,1.538425187E-1,3.790092468E0,2.500000000E0,4.500000000E1
1.048783145E1,2.998685038E1,3.144257458E1,3.045049520E2,3.215308838E2,1.600000024E0,2.181000061E2,1.561473565E-1,3.790092468E0,2.500000000E0,4.700000000E1
1.148731182E1,2.998683437E1,3.144255938E1,3.048935407E2,3.219194946E2,2.670000076E0,2.258999939E2,1.594091750E-1,3.790092468E0,2.500000000E0,4.900000000E1
1.248776505E1,2.998681318E1,3.144253596E1,3.046847119E2,3.217106934E2,3.650000095E0,2.288000031E2,1.629638275E-1,3.790092468E0,2.500000000E0,4.800000000E1
1.348778026E1,2.998679092E1,3.144250947E1,3.044717932E2,3.214978027E2,3.650000095E0,2.296000061E2,1.667693882E-1,3.790092468E0,2.500000000E0,4.700000000E1
1.448725099E1,2.998676708E1,3.144248112E1,3.035827251E2,3.206087646E2,3.950000048E0,2.263999939E2,1.707300484E-1,3.790092468E0,2.500000000E0,4.700000000E1
1.548728942E1,2.998674122E1,3.144245284E1,3.032299080E2,3.202559814E2,4.079999924E0,2.251999969E2,1.746884862E-1,3.790092468E0,2.500000000E0,5.000000000E1
1.648732760E1,2.998671567E1,3.144242422E1,3.035549482E2,3.205810547E2,4.070000172E0,2.263999939E2,1.788436512E-1,3.790092468E0,2.500000000E0,4.900000000E1
1.748779510E1,2.998668931E1,3.144239364E1,3.031326123E2,3.201587524E2,4.260000229E0,2.276999969E2,1.830575359E-1,3.790092468E0,2.500000000E0,4.700000000E1
1.848767661E1,2.998666309E1,3.144236205E1,3.029749257E2,3.200010986E2,4.239999771E0,2.275000000E2,1.871890604E-1,3.790092468E0,2.500000000E0,4.700000000E1
1.948735900E1,2.998663684E1,3.144233169E1,3.028382345E2,3.198644409E2,4.130000114E0,2.261999969E2,1.913137497E-1,3.790092468E0,2.500000000E0,4.900000000E1
2.048749869E1,2.998660981E1,3.144230236E1,3.024053987E2,3.194316406E2,4.079999924E0,2.236999969E2,1.954263654E-1,3.790092468E0,2.500000000E0,4.800000000E1
2.148775593E1,2.998658122E1,3.144227527E1,3.027920168E2,3.198182983E2,4.090000153E0,2.198000031E2,1.998175231E-1,3.790092468E0,2.500000000E0,4.900000000E1
2.248726494E1,2.998654898E1,3.144224894E1,3.026858299E2,3.197121582E2,4.440000057E0,2.158999939E2,2.040162117E-1,3.790092468E0,2.500000000E0,4.800000000E1
2.348772812E1,2.998651686E1,3.144222602E1,3.027067167E2,3.197330933E2,4.099999905E0,2.128000031E2,2.082144696E-1,3.790092468E0,2.500000000E0,4.900000000E1
2.448713926E1,2.998648422E1,3.144220411E1,3.028293476E2,3.198557739E2,4.199999809E0,2.103000031E2,2.124285057E-1,3.790092468E0,2.500000000E0,4.700000000E1
2.548770093E1,2.998645102E1,3.144218301E1,3.025340083E2,3.195604858E2,4.179999828E0,2.073999939E2,2.166048804E-1,3.790092468E0,2.500000000E0,4.400000000E1
2.648769963E1,2.998641674E1,3.144216529E1,3.021715876E2,3.191981201E2,4.090000153E0,2.036999969E2,2.208214489E-1,3.790092468E0,2.500000000E0,4.500000000E1
2.748722067E1,2.998638108E1,3.144215040E1,3.020869949E2,3.191135864E2,4.139999866E0,2.006000061E2,2.249560519E-1,3.790092468E0,2.500000000E0,4.400000000E1
2.848699994E1,2.998634544E1,3.144213816E1,3.017906089E2,3.188172607E2,4.130000114E0,1.980000000E2,2.293207528E-1,3.790092468E0,2.500000000E0,4.600000000E1
2.948738588E1,2.998630756E1,3.144212628E1,3.019427659E2,3.189694824E2,4.349999905E0,1.966999969E2,2.335431040E-1,3.790092468E0,2.500000000E0,4.600000000E1
3.048737535E1,2.998627105E1,3.144211423E1,3.019330603E2,3.189598389E2,4.070000172E0,1.965000000E2,2.376221970E-1,3.790092468E0,2.500000000E0,4.200000000E1
3.148735697E1,2.998623559E1,3.144210338E1,3.020940103E2,3.191208496E2,3.839999914E0,1.960000000E2,2.414970810E-1,3.790092468E0,2.500000000E0,4.100000000E1
3.248713270E1,2.998620195E1,3.144209288E1,3.016366164E2,3.186635132E2,3.569999933E0,1.971999969E2,2.449337991E-1,3.790092468E0,2.500000000E0,4.200000000E1
3.348706306E1,2.998617315E1,3.144207993E1,3.014562103E2,3.184831543E2,3.279999971E0,2.018999939E2,2.481689449E-1,3.790092468E0,2.500000000E0,4.000000000E1
3.448691650E1,2.998614657E1,3.144206627E1,3.012794099E2,3.183063965E2,3.119999886E0,2.051999969E2,2.513448449E-1,3.790092468E0,2.500000000E0,4.000000000E1
3.548783066E1,2.998612117E1,3.144205119E1,3.011900146E2,3.182170410E2,3.099999905E0,2.076999969E2,2.545478418E-1,3.790092468E0,2.500000000E0,4.100000000E1
3.648773420E1,2.998609686E1,3.144203335E1,3.004095828E2,3.174366455E2,3.180000067E0,2.130000000E2,2.575174974E-1,3.790092468E0,2.500000000E0,4.100000000E1
3.748717150E1,2.998607646E1,3.144201345E1,3.005080046E2,3.175350952E2,2.920000076E0,2.198999939E2,2.597684872E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.848731566E1,2.998606326E1,3.144199573E1,3.008752375E2,3.179023438E2,2.019999981E0,2.263999939E2,2.612091139E-1,3.790092468E0,2.500000000E0,4.400000000E1
3.948713780E1,2.998605585E1,3.144198346E1,3.005176860E2,3.175447998E2,1.240000010E0,2.271000061E2,2.623280159E-1,3.790092468E0,2.500000000E0,4.800000000E1
4.048714910E1,2.998605026E1,3.144197380E1,3.005126146E2,3.175397339E2,1.029999971E0,2.301999969E2,2.631985550E-1,3.790092468E0,2.500000000E0,4.900000000E1
4.148700051E1,2.998604626E1,3.144196603E1,3.006368176E2,3.176639404E2,9.800000191E-1,2.271000061E2,2.641652251E-1,3.790092468E0,2.500000000E0,4.600000000E1
4.248780858E1,2.998604194E1,3.144195732E1,2.999242896E2,3.169514160E2,1.080000043E0,2.336000061E2,2.660689167E-1,3.790092468E0,2.500000000E0,4.800000000E1
4.348762868E1,2.998603466E1,3.144193943E1,2.996546929E2,3.166818237E2,2.349999905E0,2.450000000E2,2.689343928E-1,3.790092468E0,2.500000000E0,4.700000000E1
4.448700873E1,2.998602493E1,3.144191188E1,2.993116102E2,3.163387451E2,3.119999886E0,2.481000061E2,2.722124874E-1,3.790092468E0,2.500000000E0,4.400000000E1
4.548728160E1,2.998601678E1,3.144187917E1,2.988217435E2,3.158488770E2,3.420000076E0,2.570000000E2,2.753237303E-1,3.790092468E0,2.500000000E0,4.300000000E1
4.648711701E1,2.998601364E1,3.144184707E1,2.987815929E2,3.158087158E2,3.039999962E0,2.652999878E2,2.786421087E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.748785483E1,2.998601498E1,3.144181265E1,2.992418791E2,3.162689819E2,3.500000000E0,2.718999939E2,2.820542689E-1,3.790092468E0,2.500000000E0,4.500000000E1
4.848761326E1,2.998601882E1,3.144177750E1,2.990412817E2,3.160683594E2,3.420000076E0,2.751000061E2,2.854067999E-1,3.790092468E0,2.500000000E0,4.900000000E1
4.948765113E1,2.998602161E1,3.144174284E1,2.987933798E2,3.158204346E2,3.380000114E0,2.728999939E2,2.887676202E-1,3.790092468E0,2.500000000E0,4.800000000E1
5.048747248E1,2.998602346E1,3.144170801E1,2.990065358E2,3.160335693E2,3.390000105E0,2.713999939E2,2.920833294E-1,3.790092468E0,2.500000000E0,5.000000000E1
5.148758753E1,2.998602532E1,3.144167365E1,2.996380266E2,3.166650391E2,3.390000105E0,2.707000122E2,2.954249598E-1,3.790092468E0,2.500000000E0,4.700000000E1
5.248753045E1,2.998602687E1,3.144163900E1,2.994544535E2,3.164814453E2,3.369999886E0,2.702000122E2,2.989998880E-1,3.790092468E0,2.500000000E0,4.600000000E1
5.348740503E1,2.998602896E1,3.144160196E1,2.994989099E2,3.165258789E2,3.539999962E0,2.718999939E2,3.023388862E-1,3.790092468E0,2.500000000E0,4.700000000E1
