"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.087305275E1,2.998734365E1,3.144194538E1,3.145614322E2,3.315861206E2,3.640000105E0,2.703999939E2,3.958405089E-1,3.790092468E0,2.500000000E0,3.700000000E1
3.187283160E1,2.998734336E1,3.144190817E1,3.149345586E2,3.319592285E2,3.559999943E0,2.703999939E2,3.994968391E-1,3.790092468E0,2.500000000E0,3.600000000E1
3.287338514E1,2.998734287E1,3.144187021E1,3.148960028E2,3.319206543E2,3.660000086E0,2.697999878E2,4.031420137E-1,3.790092468E0,2.500000000E0,3.600000000E1
3.387326905E1,2.998734218E1,3.144183237E1,3.149793949E2,3.320040283E2,3.640000105E0,2.693999939E2,4.067748986E-1,3.790092468E0,2.500000000E0,3.600000000E1
3.487308717E1,2.998734197E1,3.144179465E1,3.152048777E2,3.322294922E2,3.619999886E0,2.700000000E2,4.104317875E-1,3.790092468E0,2.500000000E0,3.500000000E1
3.587287473E1,2.998734194E1,3.144175668E1,3.149194967E2,3.319440918E2,3.630000114E0,2.697999878E2,4.141247449E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.687367259E1,2.998734143E1,3.144171834E1,3.147069299E2,3.317315063E2,3.660000086E0,2.692999878E2,4.177686810E-1,3.790092468E0,2.500000000E0,3.500000000E1
3.787338993E1,2.998734087E1,3.144168051E1,3.148049096E2,3.318294678E2,3.640000105E0,2.697999878E2,4.213957875E-1,3.790092468E0,2.500000000E0,3.600000000E1
3.887307847E1,2.998734066E1,3.144164285E1,3.148350799E2,3.318596191E2,3.670000076E0,2.710000000E2,4.249306698E-1,3.790092468E0,2.500000000E0,3.400000000E1
3.987362832E1,2.998734024E1,3.144160615E1,3.136590725E2,3.306835938E2,3.559999943E0,2.711000061E2,4.285699326E-1,3.790092468E0,2.500000000E0,3.800000000E1
4.087339228E1,2.998733961E1,3.144156837E1,3.138821131E2,3.309066162E2,3.759999990E0,2.701000061E2,4.321880329E-1,3.790092468E0,2.500000000E0,3.800000000E1
4.187311139E1,2.998733897E1,3.144153081E1,3.138185325E2,3.308430176E2,3.599999905E0,2.697999878E2,4.358609837E-1,3.790092468E0,2.500000000E0,3.700000000E1
4.287367222E1,2.998733799E1,3.144149269E1,3.137490921E2,3.307735596E2,3.680000067E0,2.683999939E2,4.395793451E-1,3.790092468E0,2.500000000E0,3.700000000E1
4.387356462E1,2.998733478E1,3.144145426E1,3.137904266E2,3.308148804E2,3.700000048E0,2.652000122E2,4.432242163E-1,3.790092468E0,2.500000000E0,3.700000000E1
4.487311691E1,2.998732988E1,3.144141684E1,3.138113106E2,3.308357544E2,3.589999914E0,2.637000122E2,4.468389988E-1,3.790092468E0,2.500000000E0,3.600000000E1
4.587294863E1,2.998732800E1,3.144137937E1,3.141379254E2,3.311623535E2,3.680000067E0,2.705000000E2,4.504580191E-1,3.790092468E0,2.500000000E0,3.700000000E1
4.687372259E1,2.998733141E1,3.144134200E1,3.140763664E2,3.311007690E2,3.690000057E0,2.783999939E2,4.541068125E-1,3.790092468E0,2.500000000E0,3.500000000E1
4.787361774E1,2.998733691E1,3.144130465E1,3.141434734E2,3.311678467E2,3.660000086E0,2.805000000E2,4.577071491E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.887337040E1,2.998734109E1,3.144126758E1,3.139575261E2,3.309818726E2,3.579999924E0,2.776000061E2,4.613296596E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.987380394E1,2.998734350E1,3.144123007E1,3.139778745E2,3.310021973E2,3.599999905E0,2.742999878E2,4.649667690E-1,3.790092468E0,2.500000000E0,3.200000000E1
5.087365837E1,2.998734509E1,3.144119235E1,3.140562659E2,3.310805664E2,3.640000105E0,2.737999878E2,4.685791737E-1,3.790092468E0,2.500000000E0,3.400000000E1
