_id,carId,latitude,longitude,altitude,speed,date,timestamp,__v
681c91f0fd0a9fdb812b6183,67f99df356e86a8f862ba7e3,29.9869658,31.4426042,328,0.53,2025-08-05T11:13:50.000Z,2025-05-08T11:13:52.015Z,0
681c91f0fd0a9fdb812b6187,67f99df356e86a8f862ba7e3,29.9869653,31.4426044,328,0.31,2025-08-05T11:13:51.000Z,2025-05-08T11:13:53.000Z,0
681c91f2fd0a9fdb812b618b,67f99df356e86a8f862ba7e3,29.9869637,31.442607,329,1.61,2025-08-05T11:13:52.000Z,2025-05-08T11:13:54.017Z,0
681c91f3fd0a9fdb812b618f,67f99df356e86a8f862ba7e3,29.9869577,31.4426131,329,3.87,2025-08-05T11:13:53.000Z,2025-05-08T11:13:55.173Z,0
681c91f4fd0a9fdb812b6193,67f99df356e86a8f862ba7e3,29.9869441,31.4426204,329,6.92,2025-08-05T11:13:54.000Z,2025-05-08T11:13:56.197Z,0
681c91f5fd0a9fdb812b6197,67f99df356e86a8f862ba7e3,29.9869245,31.4426272,329,7.76,2025-08-05T11:13:55.000Z,2025-05-08T11:13:57.027Z,0
681c91f6fd0a9fdb812b619b,67f99df356e86a8f862ba7e3,29.9869035,31.4426306,329,7.84,2025-08-05T11:13:56.000Z,2025-05-08T11:13:58.014Z,0
681c91f7fd0a9fdb812b619f,67f99df356e86a8f862ba7e3,29.9868853,31.4426303,329,5.43,2025-08-05T11:13:57.000Z,2025-05-08T11:13:59.167Z,0
681c91f8fd0a9fdb812b61a3,67f99df356e86a8f862ba7e3,29.9868722,31.442627,329,4.9,2025-08-05T11:13:58.000Z,2025-05-08T11:14:00.095Z,0
681c91f9fd0a9fdb812b61a7,67f99df356e86a8f862ba7e3,29.9868617,31.4426213,329,3.76,2025-08-05T11:13:59.000Z,2025-05-08T11:14:01.003Z,0
681c91fafd0a9fdb812b61ab,67f99df356e86a8f862ba7e3,29.9868506,31.4426133,329,6.1,2025-08-05T11:14:00.000Z,2025-05-08T11:14:02.052Z,0
681c91fbfd0a9fdb812b61af,67f99df356e86a8f862ba7e3,29.9868364,31.4426027,329,6.01,2025-08-05T11:14:01.000Z,2025-05-08T11:14:03.264Z,0
681c91fcfd0a9fdb812b61b3,67f99df356e86a8f862ba7e3,29.9868216,31.4425899,329,7.76,2025-08-05T11:14:02.000Z,2025-05-08T11:14:04.242Z,0
681c91fdfd0a9fdb812b61b7,67f99df356e86a8f862ba7e3,29.9868029,31.4425688,330,11.32,2025-08-05T11:14:03.000Z,2025-05-08T11:14:05.019Z,0
