"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,2.999064460E1,3.144008260E1,NaN,NaN,NaN,NaN,4.161412814E-1,6.999990234E2,0.000000000E0,-1.000000000E0
9.414167630E-1,2.998719350E1,3.144175410E1,3.077751472E2,3.248000183E2,NaN,NaN,4.981946470E-1,8.250000000E1,1.358448982E1,0.000000000E0
1.086444843E0,2.998696493E1,3.144256417E1,3.012541948E2,3.182799072E2,0.000000000E0,NaN,4.990846564E-1,6.870158672E0,9.272427559E0,1.300000000E1
2.113435937E0,2.998697265E1,3.144256661E1,3.018805507E2,3.189062500E2,5.799999833E-1,3.311000061E2,5.001179465E-1,3.954190016E0,4.427792072E0,1.200000000E1
3.112800520E0,2.998698141E1,3.144256303E1,3.048312525E2,3.218569336E2,1.259999990E0,3.310000000E2,5.019539245E-1,3.790092468E0,3.506034851E0,3.400000000E1
4.113448488E0,2.998699597E1,3.144255404E1,3.063439186E2,3.233695679E2,2.660000086E0,3.285000000E2,5.045357503E-1,3.790092468E0,3.276471376E0,4.100000000E1
5.112951926E0,2.998701474E1,3.144253826E1,3.055849895E2,3.226105957E2,3.099999905E0,3.267000122E2,5.073505732E-1,3.790092468E0,2.989997387E0,4.500000000E1
6.113255675E0,2.998703535E1,3.144252129E1,3.066544947E2,3.236800537E2,3.059999943E0,3.258999939E2,5.105875787E-1,3.790092468E0,2.500000000E0,4.700000000E1
7.113646039E0,2.998705962E1,3.144250273E1,3.074793787E2,3.245048828E2,3.210000038E0,3.272000122E2,5.137311984E-1,3.790092468E0,2.500000000E0,5.000000000E1
8.113176039E0,2.998708287E1,3.144248416E1,3.072120976E2,3.242375488E2,3.059999943E0,3.287999878E2,5.170273522E-1,3.790092468E0,2.500000000E0,5.500000000E1
